event,lc_s_x_min,lc_s_x_mean,lc_s_x_max,lc_s_y_min,lc_s_y_mean,lc_s_y_max,lc_s_z_min,lc_s_z_mean,lc_s_z_max,rc_s_x_min,rc_s_x_mean,rc_s_x_max,rc_s_y_min,rc_s_y_mean,rc_s_y_max,rc_s_z_min,rc_s_z_mean,rc_s_z_max
2,0.01,0.06239999999999999,0.14,0.0,0.0702,0.18,0.0,0.012000000000000002,0.04,0.0,0.012000000000000002,0.04,0.03,0.5444,1.18,0.0,0.24319999999999997,0.96
1,0.01,0.254,0.49,0.01,0.762,1.83,0.0,0.22619999999999998,0.73,0.0,0.22619999999999998,0.73,0.02,0.2444,0.62,0.0,0.0716,0.24
1,0.0,0.06714285714285714,0.24,0.04,0.3369387755102041,0.56,0.02,0.06163265306122449,0.18,0.02,0.06163265306122449,0.18,0.02,0.5608163265306122,2.23,0.02,0.2420408163265306,0.84
5,0.0,0.13019999999999998,0.5,0.01,0.6002,2.06,0.0,0.1724,0.77,0.0,0.1724,0.77,0.06,0.37559999999999993,0.83,0.0,0.15839999999999999,0.51
1,0.0,0.30237373737373724,2.47,0.0,0.3014646464646465,2.43,0.0,0.1995959595959596,1.06,0.0,0.1995959595959596,1.06,0.0,0.17919191919191915,1.17,0.0,0.07747474747474749,0.54
1,0.01,0.08260000000000002,0.21,0.0,0.132,0.25,0.0,0.09939999999999999,0.34,0.0,0.09939999999999999,0.34,0.01,0.5314,2.43,0.04,0.25660000000000005,0.85
2,0.0,0.11280000000000001,0.34,0.06,0.6372000000000001,2.1,0.0,0.30879999999999996,1.1,0.0,0.30879999999999996,1.1,0.17,0.4237999999999999,0.58,0.0,0.12619999999999998,0.3
2,0.0,0.09000000000000002,0.19,0.22,0.35714285714285715,0.58,0.0,0.08755102040816325,0.27,0.0,0.08755102040816325,0.27,0.04,0.33795918367346944,0.6,0.03,0.24551020408163263,0.82
1,0.03,0.6620408163265306,1.75,0.02,0.30081632653061224,0.58,0.0,0.2730612244897959,0.95,0.0,0.2730612244897959,0.95,0.01,0.2444897959183674,0.4,0.0,0.1546938775510204,0.39
1,0.03,0.1458,0.36,0.0,0.212,0.6,0.0,0.038200000000000005,0.13,0.0,0.038200000000000005,0.13,0.0,0.5719999999999998,2.69,0.02,0.38980000000000004,0.98
2,0.0,0.20620000000000002,0.63,0.01,0.6367999999999999,2.99,0.01,0.3704,1.47,0.01,0.3704,1.47,0.17,0.5046,0.75,0.0,0.07500000000000001,0.28
2,0.0,0.14639999999999997,0.79,0.29,0.49060000000000004,1.3,0.08,0.177,0.5,0.08,0.177,0.5,0.01,0.7386,1.29,0.01,0.2838,0.77
1,0.03,0.3664,1.07,0.01,0.8201999999999998,2.07,0.01,0.3456,1.26,0.01,0.3456,1.26,0.02,0.2582,0.64,0.0,0.10240000000000002,0.29
1,0.08,0.125,0.21,0.0,0.2024,0.52,0.04,0.1436,0.41,0.04,0.1436,0.41,0.0,0.5292,2.0,0.06,0.31620000000000004,0.71
2,0.0,0.1048,0.37,0.01,0.6413999999999999,1.99,0.01,0.2814,1.01,0.01,0.2814,1.01,0.02,0.24,0.41,0.01,0.1296,0.64
