uid,event,cut_mean,cut_max,cut_min,cut_std,cut_var,speed_mean,speed_max,speed_min,speed_std,speed_var,space_mean,space_max,space_min,gender,age,height,weight,fre_side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity
16,4,0.54819266123626,1.374392722987586,0.10382332347441772,0.30839759023729674,0.0951090736641716,1.3364289222790302,2.4517078694742533,0.5074021819783121,0.48115055809895263,0.2315058595589336,0.38230203633757937,0.6586349520030045,0.19646882704388505,2,18,162,51,2,1,2,2,4,5,2,1,0
17,1,0.3897305549819622,1.2724935953668786,0.10064495102245972,0.2296276547746478,0.05272885983730483,1.1630437905784627,2.281280465297385,0.38735635391912265,0.3368728481270476,0.11348331580522887,0.36186811689153736,0.6762396025078685,0.1772004514666935,2,18,160,54,2,1,1,2,3,4,2,1,0
17,2,0.4040343195563254,1.3495924005642503,0.10000000000000003,0.25383693946234487,0.06443319183561014,1.1292088578555721,2.279716892845017,0.4250699413213509,0.3331808553110234,0.11100948234578514,0.3514865311210633,0.6887670143089026,0.13341664064126335,2,18,160,54,2,1,1,2,3,4,2,1,0
17,3,0.3202375471502886,1.038525521036238,0.10009967675098252,0.2065193911300727,0.042650258912735946,1.1136301675668716,2.248108934405283,0.5081388623612336,0.38041027611067463,0.14471197817059972,0.3603964882782916,0.6184658438426491,0.2193171219946131,2,18,160,54,2,1,1,2,3,4,2,1,0
17,4,0.4670889298586862,1.3276657980158375,0.1009977128265606,0.2921280532449234,0.0853387994926688,1.2903541358811266,3.1239195247431475,0.458525868431434,0.46700866706830524,0.21809709511691516,0.36374306899192954,0.6862215385719105,0.19723082923316024,2,18,160,54,2,1,1,2,3,4,2,1,0
18,1,0.3823802273063562,1.2369411330900528,0.10064495102245977,0.21818300121995743,0.04760382202134794,1.4790070532731636,3.105210401945268,0.4757899693670361,0.5619639480514866,0.31580347890961397,0.38836196723125704,0.7387827826905551,0.04123105625617661,1,21,170,70,2,2,4,1,3,3,1,1,0
18,2,0.41956942213093246,1.1415115894126024,0.10071067811865476,0.23800221613680073,0.05664505488602841,1.3757720239720423,2.8666638584453805,0.4570389355829717,0.4416878510211883,0.1950881577397154,0.3763176627310789,0.6809552114493287,0.04123105625617662,1,21,170,70,2,2,4,1,3,3,1,1,0
18,3,0.40064075604130145,1.232142336208984,0.1279654590981486,0.2268887134314809,0.05147848828259266,1.3632510722488107,2.3835328939240514,0.5139175064182675,0.42506017396246,0.18067615148899674,0.3857586404328851,0.6876772498781678,0.15000000000000002,1,21,170,70,2,2,4,1,3,3,1,1,0
18,4,0.37171832726878556,1.1226148374903422,0.10000000000000007,0.19993464413563872,0.03997386192564449,1.384296047849268,2.5416054110639013,0.4715422234288662,0.4761085180477649,0.22667932095763887,0.40973586009855767,0.6797793759742936,0.09848857801796106,1,21,170,70,2,2,4,1,3,3,1,1,0
19,1,0.5323442907691366,1.6936155313275354,0.10064495102245967,0.31735678170765547,0.10071532689584048,1.33786047808223,3.0025295631179723,0.4722706809512078,0.41518633160703006,0.17237968995330274,0.3365020426866222,0.6800735254367721,0.09219544457292887,1,22,175,55,2,1,1,6,2,3,4,1,0
19,2,0.5568755345894697,1.5064845223562309,0.1024264068711929,0.30787838958524755,0.09478910277360547,1.297542547622623,2.3148707980775507,0.4149089068674539,0.38667627173616725,0.14951853912378224,0.31861311294029354,0.6987131027825368,0.10198039027185572,1,22,175,55,2,1,1,6,2,3,4,1,0
19,3,0.45811627335654553,1.2513967207052086,0.10828427124746197,0.3208771021563941,0.10296211468828498,1.287867847659902,2.2768910964212656,0.5334200554062166,0.4817319357476207,0.23206565791914974,0.34191670867059354,0.6466065264130885,0.15811388300841894,1,22,175,55,2,1,1,6,2,3,4,1,0
19,4,0.5850412056572166,1.6403680700101162,0.10071067811865456,0.35390290859535056,0.12524726871224906,1.419743995442421,3.003393225712196,0.4357411532373684,0.43718018636930306,0.19112651535389857,0.33274940653303375,0.6902897942168926,0.11,1,22,175,55,2,1,1,6,2,3,4,1,0
20,1,1.3246747870964886,4.046343425980549,0.10146264369941972,0.8777676341433696,0.7704760195496483,1.9063662074739243,3.4523982828201407,0.4419766173365787,0.7547562698575317,0.5696570268892552,0.4288655235670757,0.8256512580987205,0.0,1,20,173,70,2,3,4,2,2,4,2,2,1
20,2,1.187640525184895,3.5938300963759304,0.1012095586463014,0.8194331231938954,0.6714706433873017,1.8041137173287125,3.4558634282134646,0.4383978593014654,0.6981130767828925,0.4873618679752767,0.3670661277796481,0.8276472678623424,0.0,1,20,173,70,2,3,4,2,2,4,2,2,1
20,3,1.204177910032504,2.9599946277427724,0.12242640687119286,0.8274723551088329,0.6847104984693585,1.8375525601975118,3.2686876859243066,0.5423570681717623,0.725078959848676,0.5257394980152379,0.3946776305733798,0.7527283706623525,0.010000000000000007,1,20,173,70,2,3,4,2,2,4,2,2,1
20,4,1.3531485516823474,3.949356094683788,0.10656854249492376,0.8619556891555421,0.7429676100676055,1.9586419407080662,3.551942466380334,0.44561428496897937,0.691186089628513,0.4777382104959549,0.42146924105940775,0.8260750571225353,0.010000000000000007,1,20,173,70,2,3,4,2,2,4,2,2,1
21,1,0.574867228503588,1.7901429464880934,0.10181540550352043,0.3479793420127592,0.12108962246763283,1.7595948280359366,4.289543760448483,0.7195114090400928,0.6245792268983795,0.3900992106729774,0.36839038554579845,0.7256031973468694,0.031622776601683784,2,19,166,50,2,1,3,4,3,4,3,1,0
