uid,side,event,trial,cut_mean,cut_max,cut_min,cut_std,cut_var,speed_mean,speed_max,speed_min,speed_std,speed_var,space_mean,space_max,space_min,gender,age,height,weight,fre_side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity
57,left,1,1,0.25073677262993815,0.5438499353218826,0.10277916867529352,0.10391339830854167,0.010797994348029631,1.2990921887665776,1.8298319550716031,0.9202681905796892,0.2576855699066713,0.06640185293812599,0.43923803934736333,0.6780117993073572,0.2549509756796393,2,22,159,48,2,1,1,1,3,5,3,2,0
57,right,1,1,0.284970891855396,0.5860665798562158,0.10071067811865472,0.13750016427753164,0.018906295176348193,1.3264048941256548,2.0898286923681884,0.8536240624895987,0.34809746734349106,0.12117184677095283,0.43923803934736333,0.6780117993073572,0.2549509756796393,2,22,159,48,2,1,1,1,3,5,3,2,0
57,left,1,2,0.26133898264548605,0.5961514961663532,0.10892922226992176,0.12079581563414811,0.014591629074719102,1.175989995368415,1.7170899124027517,0.8440226959278729,0.19131193279507028,0.036600255629785486,0.4648575665371941,0.7106335201775947,0.2720294101747089,2,22,159,48,2,1,1,1,3,5,3,2,0
57,right,1,2,0.25631957705783737,0.6180797410680646,0.10146264369941968,0.11879409755510237,0.014112037613931178,1.2135455384337062,1.8384286817476352,0.8593989781544582,0.24717906248513602,0.06109748893103077,0.4648575665371941,0.7106335201775947,0.2720294101747089,2,22,159,48,2,1,1,1,3,5,3,2,0
57,left,1,3,0.21681219695332987,0.5093971057569053,0.10146264369941982,0.09890750758327925,0.009782695056336443,1.081657672254035,1.463384239431711,0.8518069822666487,0.1334007111225579,0.01779574972800415,0.43353578837992623,0.6657326790837295,0.17,2,22,159,48,2,1,1,1,3,5,3,2,0
57,right,1,3,0.25716495312319393,0.5939229409131779,0.10071067811865476,0.12663209922263202,0.016035688553530523,1.199727354467095,1.9630763700842888,0.8803599288411534,0.22703499720414722,0.05154488995548714,0.43353578837992623,0.6657326790837295,0.17,2,22,159,48,2,1,1,1,3,5,3,2,0
57,left,2,1,0.2538207790062213,0.5894082044667424,0.10210759472187958,0.10563857606718108,0.011159508753501603,1.2483668769985656,1.838441866139156,0.9132855646289164,0.19873372416003485,0.03949509311851682,0.43426789097053026,0.6794115100585211,0.25612496949731395,2,22,159,48,2,1,1,1,3,5,3,2,0
57,right,2,1,0.2605395934506676,0.6068872914057151,0.10242640687119273,0.12317225832166838,0.015171405220059804,1.3081796925744094,2.0250544860459048,0.8148148148148151,0.34132235926316434,0.11650095293297262,0.43426789097053026,0.6794115100585211,0.25612496949731395,2,22,159,48,2,1,1,1,3,5,3,2,0
57,left,2,2,0.2140439641904855,0.5753323498341787,0.10064495102245964,0.11003428126511801,0.0121075430535311,1.1295526198830481,1.6765578240559589,0.8398559324494436,0.19339408536409167,0.037401272253813574,0.44235077042429843,0.7106335201775948,0.18681541692269404,2,22,159,48,2,1,1,1,3,5,3,2,0
57,right,2,2,0.271552440649144,0.6039642283752882,0.10560477932315074,0.1391136380455838,0.0193526042902777,1.23175055430542,2.0373998159407694,0.7857142857142856,0.2754563941774138,0.07587622509322277,0.44235077042429843,0.7106335201775948,0.18681541692269404,2,22,159,48,2,1,1,1,3,5,3,2,0
