,Unnamed: 0,event,age,height,weight,VR_exp,sport_fre,personality,familiarity,cut_mean,speed_mean,space_max
165,Unnamed: 0165,event2,age1,height3,weight2,VR_exp1,sport_fre1,personality1,familiarity1,cut_meanFalse,speed_meanTrue,space_maxTrue
166,Unnamed: 0166,event3,age1,height3,weight2,VR_exp1,sport_fre1,personality1,familiarity1,cut_meanFalse,speed_meanTrue,space_maxTrue
167,Unnamed: 0167,event4,age1,height3,weight2,VR_exp1,sport_fre1,personality1,familiarity1,cut_meanFalse,speed_meanTrue,space_maxTrue
168,Unnamed: 0168,event1,age1,height2,weight1,VR_exp0,sport_fre0,personality0,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
169,Unnamed: 0169,event2,age1,height2,weight1,VR_exp0,sport_fre0,personality0,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
170,Unnamed: 0170,event3,age1,height2,weight1,VR_exp0,sport_fre0,personality0,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
171,Unnamed: 0171,event4,age1,height2,weight1,VR_exp0,sport_fre0,personality0,familiarity1,cut_meanTrue,speed_meanTrue,space_maxTrue
172,Unnamed: 0172,event1,age1,height1,weight1,VR_exp1,sport_fre1,personality1,familiarity0,cut_meanTrue,speed_meanTrue,space_maxTrue
173,Unnamed: 0173,event2,age1,height1,weight1,VR_exp1,sport_fre1,personality1,familiarity0,cut_meanTrue,speed_meanTrue,space_maxTrue
174,Unnamed: 0174,event3,age1,height1,weight1,VR_exp1,sport_fre1,personality1,familiarity0,cut_meanTrue,speed_meanTrue,space_maxTrue
175,Unnamed: 0175,event4,age1,height1,weight1,VR_exp1,sport_fre1,personality1,familiarity0,cut_meanTrue,speed_meanTrue,space_maxTrue
176,Unnamed: 0176,event1,age0,height3,weight2,VR_exp0,sport_fre1,personality1,familiarity0,cut_meanTrue,speed_meanTrue,space_maxTrue
177,Unnamed: 0177,event2,age0,height3,weight2,VR_exp0,sport_fre1,personality1,familiarity0,cut_meanTrue,speed_meanTrue,space_maxTrue
178,Unnamed: 0178,event3,age0,height3,weight2,VR_exp0,sport_fre1,personality1,familiarity0,cut_meanTrue,speed_meanTrue,space_maxTrue
179,Unnamed: 0179,event4,age0,height3,weight2,VR_exp0,sport_fre1,personality1,familiarity0,cut_meanTrue,speed_meanTrue,space_maxTrue
180,Unnamed: 0180,event1,age1,height2,weight2,VR_exp0,sport_fre0,personality0,familiarity0,cut_meanFalse,speed_meanTrue,space_maxFalse
181,Unnamed: 0181,event2,age1,height2,weight2,VR_exp0,sport_fre0,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
182,Unnamed: 0182,event3,age1,height2,weight2,VR_exp0,sport_fre0,personality0,familiarity0,cut_meanFalse,speed_meanFalse,space_maxFalse
183,Unnamed: 0183,event4,age1,height2,weight2,VR_exp0,sport_fre0,personality0,familiarity0,cut_meanFalse,speed_meanTrue,space_maxFalse
184,Unnamed: 0184,event1,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxFalse
185,Unnamed: 0185,event2,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxFalse
186,Unnamed: 0186,event3,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxFalse
187,Unnamed: 0187,event4,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity1,cut_meanTrue,speed_meanTrue,space_maxFalse
188,Unnamed: 0188,event1,age1,height1,weight0,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanTrue,space_maxTrue
189,Unnamed: 0189,event2,age1,height1,weight0,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanTrue,space_maxFalse
190,Unnamed: 0190,event3,age1,height1,weight0,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanTrue,space_maxFalse
191,Unnamed: 0191,event4,age1,height1,weight0,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanTrue,speed_meanTrue,space_maxTrue
192,Unnamed: 0192,event1,age1,height1,weight0,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanTrue,speed_meanTrue,space_maxTrue
193,Unnamed: 0193,event2,age1,height1,weight0,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanTrue,speed_meanTrue,space_maxTrue
194,Unnamed: 0194,event3,age1,height1,weight0,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanTrue,space_maxTrue
195,Unnamed: 0195,event4,age1,height1,weight0,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanTrue,speed_meanTrue,space_maxTrue
196,Unnamed: 0196,event1,age1,height1,weight1,VR_exp0,sport_fre0,personality1,familiarity0,cut_meanFalse,speed_meanFalse,space_maxTrue
