,Unnamed: 0,event,gender,age,height,weight,fre_side,VR_exp,game_fre,sport_fre,difficulty,enjoyment,fatigue,personality,familiarity,cut_mean,speed_mean,space_max,space_mean
189,189,2,1,1,1,0,1,0,0,0,1,1,1,1,0,1.0,2.0,1.0,3.0
190,190,3,1,1,1,0,1,0,0,0,1,1,1,1,0,1.0,3.0,1.0,3.0
191,191,4,1,1,1,0,1,0,0,0,1,1,1,1,0,2.0,2.0,2.0,2.0
196,196,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0.0,0.0,2.0,3.0
197,197,2,1,1,1,1,1,0,0,0,1,1,1,1,0,0.0,0.0,2.0,2.0
198,198,3,1,1,1,1,1,0,0,0,1,1,1,1,0,0.0,0.0,2.0,3.0
199,199,4,1,1,1,1,1,0,0,0,1,1,1,1,0,0.0,1.0,2.0,3.0
200,200,1,1,1,2,1,1,0,1,0,0,1,0,1,1,2.0,2.0,1.0,3.0
201,201,2,1,1,2,1,1,0,1,0,0,1,0,1,1,2.0,2.0,1.0,2.0
202,202,3,1,1,2,1,1,0,1,0,0,1,0,1,1,2.0,2.0,1.0,3.0
203,203,4,1,1,2,1,1,0,1,0,0,1,0,1,1,3.0,3.0,1.0,3.0
204,204,1,1,1,2,0,1,0,0,1,0,1,0,1,1,2.0,2.0,1.0,1.0
205,205,2,1,1,2,0,1,0,0,1,0,1,0,1,1,3.0,2.0,1.0,0.0
206,206,3,1,1,2,0,1,0,0,1,0,1,0,1,1,2.0,2.0,1.0,1.0
207,207,4,1,1,2,0,1,0,0,1,0,1,0,1,1,3.0,2.0,1.0,1.0
208,208,1,1,1,0,0,1,0,0,0,1,1,1,0,0,0.0,0.0,2.0,3.0
209,209,2,1,1,0,0,1,0,0,0,1,1,1,0,0,0.0,0.0,2.0,3.0
210,210,3,1,1,0,0,1,0,0,0,1,1,1,0,0,0.0,0.0,1.0,3.0
211,211,4,1,1,0,0,1,0,0,0,1,1,1,0,0,0.0,0.0,3.0,3.0
212,212,1,1,1,1,1,1,0,0,0,1,1,0,1,1,2.0,2.0,2.0,1.0
213,213,2,1,1,1,1,1,0,0,0,1,1,0,1,1,3.0,3.0,2.0,0.0
214,214,3,1,1,1,1,1,0,0,0,1,1,0,1,1,2.0,2.0,2.0,0.0
215,215,4,1,1,1,1,1,0,0,0,1,1,0,1,1,3.0,3.0,2.0,1.0
216,216,1,1,1,1,1,1,0,0,0,0,1,0,0,1,2.0,2.0,2.0,1.0
217,217,2,1,1,1,1,1,0,0,0,0,1,0,0,1,2.0,2.0,2.0,0.0
218,218,3,1,1,1,1,1,0,0,0,0,1,0,0,1,2.0,2.0,0.0,1.0
219,219,4,1,1,1,1,1,0,0,0,0,1,0,0,1,2.0,2.0,2.0,2.0
